Wall time,Step,Value
1743528792.5293581,0,5.612948894500732
1743530189.371732,1,5.102878570556641
1743531599.189049,2,5.021487236022949
1743532970.199818,3,4.4596662521362305
1743534351.721868,4,4.019169330596924
1743535737.940565,5,4.218427658081055
1743542283.848106,6,4.413208961486816
1743543670.5451,7,3.8326687812805176
1743545068.597832,8,3.577827215194702
1743546447.375592,9,3.4929027557373047
1743547831.9755719,10,3.5614140033721924
1743549195.891924,11,3.2546048164367676
1743550578.384013,12,3.367957830429077
1743551952.838609,13,3.344449281692505
1743553315.177591,14,3.0777249336242676
1743554700.622315,15,3.2680447101593018
1743556078.555941,16,3.2079899311065674
1743557459.823699,17,3.4767885208129883
1743558839.386914,18,3.3987181186676025
1743560220.3554308,19,3.3740689754486084
1743561594.107113,20,3.3041279315948486
1743562988.4396229,21,3.157778739929199
1743564356.8632472,22,3.0331223011016846
1743565743.174195,23,3.464416980743408
1743567123.718724,24,3.180366039276123
1743568500.1967978,25,2.925152063369751
1743569887.8673122,26,2.932081937789917
1743571266.319217,27,3.6581671237945557
1743572649.086784,28,3.4188385009765625
1743574040.4284859,29,2.958526372909546
1743575416.289927,30,2.948180675506592
1743576792.197972,31,3.1509413719177246
1743578180.9796538,32,2.9784107208251953
1743579565.567001,33,2.9978487491607666
1743580966.7604392,34,3.5178446769714355
1743582378.985748,35,3.358567237854004
1743583778.5995982,36,3.1253340244293213
1743585160.922821,37,4.062417984008789
1743586536.146581,38,4.184512138366699
1743587910.306311,39,3.426581382751465
